MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,59,4.565099|3.000000,0.019599199295043945,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,146994544640.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,60,4.565099|3.000000,0.018811941146850586,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,49997361152.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,61,4.565099|3.000000,0.019075870513916016,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,55377010688.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,62,4.565099|3.000000,0.019007444381713867,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,63,4.565099|3.000000,0.019301414489746094,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,82044690432.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,64,4.565099|3.000000,0.019368410110473633,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,100604444672.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,65,4.565099|3.000000,0.01920771598815918,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,75697602560.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,66,4.565099|3.000000,0.019010543823242188,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,67,4.565099|3.000000,0.020184755325317383,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,100166066176.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,68,4.565099|3.000000,0.019665956497192383,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,94002298880.000000,N/A,1,5
