MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,23,7.545539|7.000000|1.000000,0.026537656784057617,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,76401795072.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,24,7.545539|7.000000|1.000000,0.026947021484375,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,71201931264.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,25,7.545539|7.000000|1.000000,0.026606082916259766,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,80101392384.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,26,7.545539|7.000000|1.000000,0.026378393173217773,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,68269395968.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,27,7.545539|7.000000|1.000000,0.026439428329467773,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,26416820224.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,28,7.545539|7.000000|1.000000,0.026561975479125977,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,22621888512.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,29,7.545539|7.000000|1.000000,0.026422500610351562,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,98083282944.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,30,7.545539|7.000000|1.000000,0.027354001998901367,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,99454607360.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,31,7.545539|7.000000|1.000000,0.025891780853271484,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,53080944640.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,32,7.545539|7.000000|1.000000,0.02636885643005371,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,58116308992.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,33,7.545539|7.000000|1.000000,0.02715611457824707,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,84784832512.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,34,7.545539|7.000000|1.000000,0.02628946304321289,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,74394451968.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,35,7.545539|7.000000|1.000000,0.026120662689208984,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,70652190720.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,36,7.545539|7.000000|1.000000,0.027856826782226562,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,70224437248.000000,N/A,2,5
