MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,14,4.497596|3.000000|1.000000,0.02640557289123535,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,43352510464.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,15,4.497596|3.000000|1.000000,0.027196168899536133,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,99222790144.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,16,4.497596|3.000000|1.000000,0.026247501373291016,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,86305366016.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,17,4.497596|3.000000|1.000000,0.027741670608520508,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,147679805440.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,18,4.497596|3.000000|1.000000,0.02769756317138672,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,19,4.497596|3.000000|1.000000,0.026786327362060547,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,80547348480.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,20,4.497596|3.000000|1.000000,0.02550506591796875,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,99498442752.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,21,4.497596|3.000000|1.000000,0.027538537979125977,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,107342938112.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,22,4.497596|3.000000|1.000000,0.027408838272094727,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,106985775104.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,23,4.497596|3.000000|1.000000,0.02669692039489746,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,74386743296.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,24,4.497596|3.000000|1.000000,0.027767658233642578,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,135357472768.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,25,4.497596|3.000000|1.000000,0.026030778884887695,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,70548193280.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,26,4.497596|3.000000|1.000000,0.026636123657226562,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,59027656704.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,27,4.497596|3.000000|1.000000,0.027230501174926758,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,79238389760.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,28,4.497596|3.000000|1.000000,0.0263669490814209,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,96426967040.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,29,4.497596|3.000000|1.000000,0.027251005172729492,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,109828841472.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,30,4.497596|3.000000|1.000000,0.027322769165039062,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,27139807232.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,31,4.497596|3.000000|1.000000,0.027477264404296875,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,79712198656.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,32,4.497596|3.000000|1.000000,0.025482892990112305,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,66070614016.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,33,4.497596|3.000000|1.000000,0.026302576065063477,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,86276571136.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,34,4.497596|3.000000|1.000000,0.06293344497680664,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,87049740288.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,35,4.497596|3.000000|1.000000,0.028016328811645508,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,114466996224.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,36,4.497596|3.000000|1.000000,0.027009010314941406,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,116389445632.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,37,4.497596|3.000000|1.000000,0.026426315307617188,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,81779400704.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,38,4.497596|3.000000|1.000000,0.02667379379272461,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,67095416832.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,39,4.497596|3.000000|1.000000,0.026469707489013672,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,106951581696.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,40,4.497596|3.000000|1.000000,0.02727794647216797,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,95936479232.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,41,4.497596|3.000000|1.000000,0.02601480484008789,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,106001661952.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,42,4.497596|3.000000|1.000000,0.026895761489868164,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,106764861440.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,43,4.497596|3.000000|1.000000,0.02671957015991211,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,111119441920.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,44,4.497596|3.000000|1.000000,0.026832103729248047,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,106146217984.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,45,4.497596|3.000000|1.000000,0.02672410011291504,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,76290793472.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,46,4.497596|3.000000|1.000000,0.027788877487182617,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,70535274496.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,47,4.497596|3.000000|1.000000,0.026340723037719727,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,76453486592.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,48,4.497596|3.000000|1.000000,0.027367830276489258,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,110180171776.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,49,4.497596|3.000000|1.000000,0.02689385414123535,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,95917555712.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,50,4.497596|3.000000|1.000000,0.02662038803100586,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,90990575616.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,51,4.497596|3.000000|1.000000,0.027811050415039062,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,78191632384.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,52,4.497596|3.000000|1.000000,0.026913166046142578,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,116452065280.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,53,4.497596|3.000000|1.000000,0.026771068572998047,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,109055270912.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,54,4.497596|3.000000|1.000000,0.026919841766357422,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,70533414912.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,55,4.497596|3.000000|1.000000,0.026693105697631836,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,86276235264.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,56,4.497596|3.000000|1.000000,0.0275571346282959,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,111722258432.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,57,4.497596|3.000000|1.000000,0.026807069778442383,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,49937285120.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,58,4.497596|3.000000|1.000000,0.027429580688476562,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,77184942080.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,59,4.497596|3.000000|1.000000,0.02677631378173828,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,99497984000.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,60,4.497596|3.000000|1.000000,0.02727055549621582,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,107229364224.000000,N/A,2,5
